unique_id,provider_id_baseline,ni_number,nationality,referral_source,current_dependants_uk,number_u18_HH,number_over_18_HH,age_profile_of_dependants_uk,date_arrived_in_uk,date_asylum_status_granted,language_level_on_entry,highest_qualification_achieved,age_finished_study,employed_in_home_country,occupation_type,occupation_sector,occupation_goal,prior_employment,employment_status,hours_of_employment,wage_baseline,education_training_status,housing_baseline_accommodation,homelessness_baseline
CP-65,,TG234978D,PH,LA,Yes,,5,,2017-08,2021-07,Entry level 2,Level 5+,,Yes,right,easy,value,Don't know,TC,Don't know,,Not in formal education,Homeless and rough sleeping,Statutory homelessness
QW-76,expect,NL373747A,GG,LA,Yes,,7,0-4,2018-04,2021-02,Level 2,Level 1-2,,Yes,until,example,collection,Don't know,UNLA,,,formal education,Homeless and rough sleeping,Statutory homelessness
YB-82,play,GY470883C,ME,LA,Yes,0,,,2017-07,2021-09,Pre-entry,Entry level,,No,,,white,Yes,TC,,37,formal education,Other safe and secure accommodation,
ML-22,since,,ID,Other Health,Yes,4,3,,2019-06,2020-10,Entry level 3,Unknown,13,No,,,friend,Don't know,ULA,,,Not in formal education,Renting - Local authority or housing association,
HV-19,,MG566808C,EG,HO providers,No,,,,2017-12,2021-09,Level 2,Below formal levels,,Yes,join,different,low,Yes,UNLA,,79,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness
MF-80,,,FO,Migrant Help,Yes,,,0-4,2019-07,2021-01,Level 1,Unknown,15,Yes,forget,group,system,Don't know,UNLA,Don't know,0,formal education,Publicly funded temporary accommodation,
SH-29,picture,ZX800125A,AG,Other Health,No,4,,,2019-03,2021-03,Level 1,Unknown,23,No,,,well,Yes,UNLA,,,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness
EU-00,stock,LZ134110C,LV,Other Health,No,,,,2017-11,2021-06,Level 2,Entry level,,No,,,industry,Yes,ZHC,,,formal education,Renting - Local authority or housing association,
LS-59,,MB298307C,AZ,LA,Yes,1,4,"11-17, Caring responsibilities for an adult",2019-02,2021-02,Pre-entry,Unknown,18,Yes,another,example,notice,No,ZHC,,99,Not in formal education,Renting - private sector,
ZF-11,,EW877945A,NC,LA,No,8,1,,2018-08,2021-09,Entry level 1,Level 5+,,No,,,near,Yes,ZHC,8 to 15 hours,76,Not in formal education,Renting - private sector,
FV-43,,MX118626D,LS,DWP,No,7,,,2017-09,2021-10,Pre-entry,Level 3-4,,No,,,time,Yes,Other,31 to 48 hours,,Not in formal education,Other safe and secure accommodation,
CW-58,,,SI,LA,No,,2,,2018-10,2020-09,Entry level 3,Level 5+,,No,,,plant,Don't know,ULA,,,formal education,Other safe and secure accommodation,
KN-40,,ZM666238B,AX,Migrant Help,No,,4,,2020-03,2022-02,Beyond Level 2,Level 5+,,No,,,financial,Yes,ZHC,Don't know,,Not in formal education,Other safe and secure accommodation,
MU-93,shoulder,SS475278A,SO,Other,No,,,11-17,2018-02,2020-09,Pre-entry,Below formal levels,,Yes,reason,indeed,suggest,Don't know,CIH,31 to 48 hours,,Not in formal education,Asylum accommodation,
FM-15,,RX669765D,PS,Other Health,No,,,,2017-05,2020-10,Below formal levels,Entry level,,Yes,car,music,car,No,SE,49 or more hours,5,Not in formal education,Other safe and secure accommodation,
NU-63,,GX230412B,GM,Migrant Help,Yes,,8,,2018-05,2020-12,Entry level 1,Level 1-2,,Yes,end,tonight,five,Don't know,CIH,,,Not in formal education,Renting - Local authority or housing association,
FG-81,something,AG124842D,BJ,DWP,No,,0,,2017-07,2021-04,Entry level 2,Below formal levels,,Yes,baby,authority,top,Don't know,ULA,49 or more hours,39,Not in formal education,Renting - private sector,
LW-80,party,CX160783D,GR,Primary Care,Yes,,6,"0-4, Caring responsibilities for an adult",2017-08,2020-11,Beyond Level 2,Level 3-4,,No,,,between,Yes,SE,,,formal education,Publicly funded temporary accommodation,
EV-30,week,ML149509B,IL,Local VCS,No,2,,0-4,2019-04,2021-02,Entry level 3,Level 3-4,,Yes,off,finally,finally,Yes,PC,16 to 30 hours,23,formal education,Renting - Local authority or housing association,
TO-36,number,XX091568C,NL,Migrant Help,Yes,,,"11-17, 5-11",2018-01,2020-12,Level 2,Unknown,13,Yes,give,center,beat,No,PC,0 to 7 hours,79,Not in formal education,Renting - private sector,
HB-78,,HZ402952C,ET,HO providers,No,7,,,2020-01,2021-03,Level 1,Level 3-4,,No,,,central,Don't know,ULA,0 to 7 hours,,formal education,Self-funded temporary accommodation (e.g. hotel),
IZ-19,exist,,KY,Other,No,,5,,2017-06,2021-05,Entry level 3,Level 3-4,,No,,,bed,Don't know,CIH,,,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness
FD-46,leader,TY510097A,GL,Home Office,Yes,2,2,,2018-12,2021-08,Below formal levels,Entry level,,No,,,career,Yes,TC,,52,Not in formal education,Renting - Local authority or housing association,
FN-52,admit,LN626278A,SG,DWP,Yes,,,,2019-04,2020-10,Entry level 2,Entry level,,Yes,begin,indicate,lay,No,TC,Don't know,82,Not in formal education,Publicly funded temporary accommodation,
SL-24,safe,MB011442D,ET,Primary Care,No,1,3,,2019-06,2020-07,Beyond Level 2,Level 5+,,Yes,age,bar,admit,No,ULA,Don't know,45,Not in formal education,Homeless and rough sleeping,Non-statutory homelessness
NQ-28,direction,GX294295D,CO,Self-referrals,Yes,0,,,2019-10,2020-10,Entry level 2,Entry level,,Yes,know,campaign,ball,Yes,Other,49 or more hours,,Not in formal education,Renting - Local authority or housing association,
DH-78,source,MG636637B,HT,Other,No,4,2,,2018-10,2021-03,Entry level 2,Entry level,,No,,,then,No,SE,,,Not in formal education,Other safe and secure accommodation,
YK-55,,WY991194A,BS,Local VCS,No,4,6,,2017-12,2020-08,Entry level 2,Below formal levels,,No,,,executive,Don't know,CIH,31 to 48 hours,,formal education,Renting - Local authority or housing association,
RW-02,tough,NE950129B,MU,Other,No,,,"0-4, 5-11",2018-06,2021-01,Level 1,Level 3-4,,No,,,deal,Yes,Other,8 to 15 hours,59,formal education,Renting - Local authority or housing association,
AS-46,evening,,TJ,Migrant Help,Yes,,1,,2017-06,2021-04,Level 2,Entry level,,Yes,include,present,reveal,Yes,CIH,,,Not in formal education,Other safe and secure accommodation,
XL-29,,HY791234A,DK,Other,No,8,1,,2019-08,2021-04,Entry level 3,Below formal levels,,No,,,stage,Yes,Other,,,Not in formal education,Self-funded temporary accommodation (e.g. hotel),
EB-25,,,KE,Primary Care,No,7,,,2017-10,2021-08,Level 2,Level 3-4,,Yes,clearly,someone,so,Yes,PC,Don't know,25,Not in formal education,Homeless and rough sleeping,Non-statutory homelessness
JF-08,manager,KG501265D,SN,LA,No,3,,"11-17, Caring responsibilities for an adult",2019-01,2021-06,Entry level 1,Level 3-4,,Yes,away,catch,back,Don't know,ZHC,,70,Not in formal education,Renting - private sector,
OV-64,,TG899528B,HT,Other,Yes,4,0,,2018-07,2022-03,Below formal levels,Unknown,18,No,,,assume,Don't know,TC,,,Not in formal education,Renting - Local authority or housing association,
VS-86,,EM375356C,UM,Local VCS,Yes,4,2,11-17,2017-11,2021-04,Entry level 3,Entry level,,Yes,usually,fish,leader,Yes,UNLA,,64,Not in formal education,Homeless and rough sleeping,Statutory homelessness
IU-62,,RH000830B,MZ,LA,No,7,,,2019-08,2021-03,Beyond Level 2,Level 1-2,,No,,,central,Don't know,Other,49 or more hours,,formal education,Other safe and secure accommodation,
BW-37,,HL928900D,JE,DWP,No,,3,,2017-08,2021-07,Pre-entry,Level 3-4,,Yes,general,back,item,No,Other,,,Not in formal education,Homeless and rough sleeping,Statutory homelessness
MS-11,,GK863548C,BB,Home Office,Yes,,1,,2017-07,2021-06,Pre-entry,Level 3-4,,Yes,up,shake,live,Yes,PC,8 to 15 hours,,Not in formal education,Homeless and rough sleeping,Non-statutory homelessness
HM-93,,,TW,Peer,No,3,8,0-4,2018-09,2021-02,Below formal levels,Below formal levels,,No,,,serve,No,UNLA,,32,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness
AZ-55,,,TC,DWP,Yes,,3,,2017-12,2021-02,Entry level 2,Level 3-4,,No,,,TV,No,ULA,,,Not in formal education,Other safe and secure accommodation,
XO-54,spend,KA373089C,HK,Home Office,No,,4,,2017-03,2020-10,Entry level 3,Level 1-2,,No,,,space,No,TC,,67,Not in formal education,Self-funded temporary accommodation (e.g. hotel),
HD-17,building,NP564093A,MN,Migrant Help,No,3,6,,2016-12,2020-06,Beyond Level 2,Level 5+,,Yes,source,television,whose,Don't know,UNLA,16 to 30 hours,84,formal education,Self-funded temporary accommodation (e.g. hotel),
OX-88,answer,AX229416B,MO,Peer,Yes,3,3,,2018-08,2021-08,Entry level 3,Level 5+,,No,,,every,Yes,PC,,54,formal education,Asylum accommodation,
