unique_id,provider_id_person,first_name,last_name,year_of_birth,gender,dispersal_area,date_started_service,provider_id_housing_entry,housing_entry_date,housing_entry_accommodation,provider_id_housing_sustain,housing_sustainment_date,housing_sustain_accommodation,provider_id_baseline,ni_number,nationality,referral_source,current_dependants_uk,number_u18_HH,number_over_18_HH,age_profile_of_dependants_uk,date_arrived_in_uk,date_asylum_status_granted,language_level_on_entry,highest_qualification_achieved,age_finished_study,employed_in_home_country,occupation_type,occupation_sector,occupation_goal,prior_employment,employment_status,hours_of_employment,wage_baseline,education_training_status,housing_baseline_accommodation,homelessness_baseline,provider_id_integration_creation,integration_outcome_type_creation,integration_outcome_achieved_date_creation,integration_social_creation,integration_comms_language_creation,integration_digital_creation,provider_id_integration_6month,integration_outcome_type_6month,integration_outcome_achieved_date_6month,integration_social_6month,integration_comms_language_6month,integration_digital_6month,provider_id_integration_12month,integration_outcome_type_12month,integration_outcome_achieved_date_12month,integration_social_12month,integration_comms_language_12month,integration_digital_12month,provider_id_empl_inter,date_intermediate_employment_outcome,intermediate_employment_outcome_type,provider_id_empl_entry,employment_entry_outcome_type,date_employment_entry,primary_employment_entry_status,secondary_employment_entry_status,hours_of_employment_entry,wage_employment_entry,education_training_status_entry,employment_entry_occupation,employment_entry_sector,provider_id_empl_sustain,employment_sustainment_date,employment_sustain_status,hours_of_employment_sustain,wage_employment_sustain,education_training_status_sustain,employment_sustain_occupation,employment_sustain_sector,provider_id_last_seen,date_last_seen,reason_for_disengagement
YM-26,,during,design,2003,Woman,South Tyneside Council,2022-01,,2023-01-21,RLA,,2023-08-15,RPC,,,,,,,,,,,,,,,,,,,,,,,,,month,Creation,2023-01-27,tbc,tbc,tbc,,,,,,,,,,,,,,,,,Employment,2023-01-05,ZHC,TC,0 to 7 hours,24,formal education,message,need,,,,,,,,,play,2022-03-22,
VF-98,,first,write,1996,Other,Middlesbrough Council,2022-04,,2022-12-27,RLA,,2023-08-09,RPC,,ZR494140B,VU,HO providers,Yes,,3,"0-4, Caring responsibilities for an adult",2018-08,2021-05,Level 1,Level 1-2,,No,,,pass,Yes,UNLA,,,formal education,Renting - Local authority or housing association,,,Creation,2022-12-10,tbc,tbc,tbc,call,6 month,2023-06-02,tbc,tbc,tbc,,,,,,,by,2023-05-27,"business plan for self-employment, training course, work experience",part,Self-employment,2023-02-21,Other,,8 to 15 hours,57,Not in formal education,third,part,religious,2023-10-05,CIH,31 to 48 hours,49,formal education,back,determine,,,
MU-73,agree,age,message,1966,Woman,Gateshead Council,2022-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cold,Creation,2022-12-15,tbc,tbc,tbc,,6 month,2023-05-14,tbc,tbc,tbc,election,12 month,2023-11-23,tbc,tbc,tbc,modern,2023-03-09,"Volunteering, another specified activity, employability, training course",never,Employment,2023-01-16,SE,SE,16 to 30 hours,49,formal education,tell,out,,2023-09-02,TC,8 to 15 hours,45,formal education,analysis,mind,,,
ZV-86,,several,fall,2002,Non-binary,Stockton Council,2022-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,require,Creation,2022-12-03,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QE-51,left,beyond,expert,1969,Woman,North Tyneside Council,2022-03,,,,,,,tonight,JA109309D,MY,Local VCS,No,,3,Caring responsibilities for an adult,2017-08,2020-09,Pre-entry,Level 5+,,Yes,offer,nearly,must,Yes,ZHC,Don't know,,formal education,Renting - private sector,,half,Creation,2022-12-18,tbc,tbc,tbc,friend,6 month,2023-06-03,tbc,tbc,tbc,,12 month,2023-12-12,tbc,tbc,tbc,always,2023-02-18,"Internship, Volunteering, work experience",audience,Self-employment,2023-01-21,ZHC,SE,31 to 48 hours,57,Not in formal education,push,health,,2023-07-14,ZHC,49 or more hours,13,Not in formal education,language,measure,,,
OB-79,institution,inside,cut,1990,Non-binary,Sandwell Council,2021-12,,2022-12-02,RLA,,,,thousand,HH261035C,DM,Other,No,2,,5-11,2019-10,2020-10,Below formal levels,Level 5+,,Yes,range,bring,out,No,SE,31 to 48 hours,40,Not in formal education,Other safe and secure accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YG-29,,test,direction,1993,Woman,Sunderland City Council,2022-01,,,,,,,,JJ305122A,TJ,Other,Yes,,0,,2017-10,2021-03,Entry level 1,Level 5+,,Yes,growth,moment,shake,No,ULA,0 to 7 hours,19,Not in formal education,Other safe and secure accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-08,
BS-03,,season,accept,1972,Other,Oldham Council,2022-07,,2022-12-18,RLA,foreign,2023-05-09,other,,,NL,Other Health,Yes,,,,2019-10,2020-04,Entry level 2,Below formal levels,,No,,,reflect,Don't know,CIH,,,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC-66,opportunity,concern,mind,2001,Prefer not to say,Stockton Council,2022-06,top,2022-12-26,RLA,,,,,JM040772C,UZ,DWP,Yes,2,,,2018-06,2020-08,Entry level 2,Level 1-2,,Yes,so,conference,art,Don't know,UNLA,,,formal education,Other safe and secure accommodation,,,,,,,,,,,,,,,,,,,,husband,2023-06-07,"Internship, employability, sector-specific language training",,Employment,2022-11-19,ZHC,SE,Don't know,70,Not in formal education,else,still,,,,,,,,,,,
GT-63,produce,have,such,2003,Man,Tameside Metropolitan Borough Council,2022-07,serious,2022-12-09,RPC,during,2023-05-28,RLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employment,2022-09-26,PC,Other,0 to 7 hours,93,formal education,then,direction,,,,,,,,,,,
GL-10,owner,response,include,1998,Non-binary,Coventry City Council,2022-08,,,,,,,town,XM585834D,GI,DWP,Yes,,,11-17,2019-08,2021-09,Below formal levels,Below formal levels,,Yes,him,recognize,citizen,Don't know,ZHC,,42,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness,fly,Creation,2022-10-07,tbc,tbc,tbc,,6 month,2023-05-14,tbc,tbc,tbc,,,,,,,great,2023-03-15,"Registered business for self-employment, Volunteering, another specified activity, qualifications or skills, training course",network,Employment,2023-01-29,PC,,0 to 7 hours,61,Not in formal education,business,teach,,2023-07-01,ZHC,8 to 15 hours,62,Not in formal education,mother,history,,2022-02-24,
ND-75,,term,garden,1998,Man,Coventry City Council,2022-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task,Creation,2022-10-06,tbc,tbc,tbc,shoulder,6 month,2023-05-15,tbc,tbc,tbc,,12 month,2023-12-20,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
GG-13,its,middle,could,1985,Non-binary,Gateshead Council,2021-12,,,,,,,ahead,TE365597A,CX,Home Office,Yes,1,,,2018-08,2020-05,Pre-entry,Entry level,,Yes,develop,picture,in,Don't know,ULA,16 to 30 hours,,formal education,Publicly funded temporary accommodation,,,Creation,2022-12-03,tbc,tbc,tbc,hear,6 month,2023-06-03,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GY-42,style,building,begin,2001,Woman,Newcastle City Council,2022-04,,,,,,,,,LI,Other,Yes,,6,,2018-08,2020-10,Entry level 1,Level 5+,,No,,,better,Don't know,TC,49 or more hours,,formal education,Renting - Local authority or housing association,,,Creation,2023-01-11,tbc,tbc,tbc,,6 month,2023-05-28,tbc,tbc,tbc,,,,,,,,2023-06-04,"Registered business for self-employment, employability, mentoring and/or coaching",,Employment,2023-01-07,Other,ZHC,Don't know,31,formal education,fish,run,,,,,,,,,,,
YR-20,,according,pay,1985,Man,Wolverhampton Council,2022-02,,2022-11-04,RLA,later,2023-08-16,other,,XS944785A,TN,Other Health,No,,1,,2019-12,2021-11,Level 2,Level 1-2,,No,,,left,No,ULA,16 to 30 hours,15,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness,,,,,,,,,,,,,,,,,,,,,,,Employment,2022-12-03,PC,Other,Don't know,26,Not in formal education,new,edge,,,,,,,,,,,
SK-94,wish,occur,father,1970,Non-binary,Rochdale Borough Council,2022-05,,,,,,,direction,,GU,Home Office,No,8,2,,2019-07,2021-11,Level 2,Below formal levels,,Yes,spring,Democrat,another,Yes,CIH,,73,Not in formal education,Asylum accommodation,,true,Creation,2023-01-09,tbc,tbc,tbc,,6 month,2023-05-12,tbc,tbc,tbc,,12 month,2023-12-20,tbc,tbc,tbc,,2023-04-18,"Internship, another specified activity, qualifications or skills, training course",,Self-employment,2023-02-14,TC,,Don't know,80,formal education,wear,different,,2023-06-05,ZHC,0 to 7 hours,9,Not in formal education,society,see,,,
FV-47,air,book,ball,1963,Woman,Northumberland County Council,2022-02,,,,,,,,RT917974D,BJ,Other,Yes,7,0,11-17,2017-06,2020-11,Entry level 1,Unknown,20,Yes,million,race,product,Don't know,TC,31 to 48 hours,,Not in formal education,Asylum accommodation,,,Creation,2022-10-16,tbc,tbc,tbc,,6 month,2023-05-22,tbc,tbc,tbc,,12 month,2023-11-27,tbc,tbc,tbc,quality,2023-02-27,"Registered business for self-employment, employability, mentoring and/or coaching, sector-specific language training, training course",get,Employment,2022-12-16,TC,TC,Don't know,5,Not in formal education,reality,peace,training,2023-06-22,SE,49 or more hours,59,Not in formal education,fact,measure,,,
GH-66,,room,serious,1970,Man,Trafford Council,2021-11,,,,,,,sign,,DO,Home Office,No,,,"0-4, Caring responsibilities for an adult",2020-06,2021-10,Below formal levels,Below formal levels,,Yes,society,school,should,No,TC,49 or more hours,,formal education,Asylum accommodation,,friend,Creation,2022-11-09,tbc,tbc,tbc,above,6 month,2023-05-18,tbc,tbc,tbc,better,12 month,2023-12-04,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
UX-04,,event,well,1960,Man,Redcar and Cleveland Council,2022-05,,,,,,,,YK492667B,KE,Migrant Help,Yes,,0,,2017-04,2020-12,Entry level 3,Level 3-4,,Yes,thank,address,teach,Don't know,ZHC,8 to 15 hours,,formal education,Renting - private sector,,,,,,,,,,,,,,,,,,,,term,2023-04-30,"business plan for self-employment, employability, sector-specific language training",back,Employment,2022-10-11,PC,,16 to 30 hours,74,Not in formal education,paper,second,,2023-09-21,ZHC,0 to 7 hours,61,formal education,appear,each,,,
IX-14,,six,me,1987,Man,Birmingham City Council,2022-05,,2022-12-12,RLA,travel,2023-08-24,RPC,,JS485572B,BF,LA,Yes,8,,5-11,2019-04,2021-02,Beyond Level 2,Level 1-2,,No,,,strong,Don't know,TC,,74,Not in formal education,Homeless and rough sleeping,Statutory homelessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-21,author
DQ-46,hand,reveal,it,1992,Woman,Bury Council,2021-12,,,,,,,section,XS265595A,BS,Primary Care,No,4,2,0-4,2017-11,2021-06,Beyond Level 2,Level 3-4,,No,,,doctor,No,SE,8 to 15 hours,81,formal education,Self-funded temporary accommodation (e.g. hotel),,rule,Creation,2022-11-04,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS-73,,final,reality,1976,Man,Trafford Council,2022-04,,,,,,,tax,KE332411C,BV,Other,Yes,6,,,2020-06,2021-11,Level 2,Level 5+,,Yes,case,class,national,Don't know,PC,31 to 48 hours,,formal education,Asylum accommodation,,,Creation,2023-01-13,tbc,tbc,tbc,camera,6 month,2023-05-11,tbc,tbc,tbc,,,,,,,,2023-06-05,"Internship, Volunteering, mentoring and/or coaching, work experience",,Employment,2022-11-19,CIH,,0 to 7 hours,48,Not in formal education,those,across,,2023-10-23,CIH,8 to 15 hours,60,formal education,skill,dog,laugh,2022-04-23,industry
ZH-95,,image,program,1985,Woman,Tameside Metropolitan Borough Council,2021-11,themselves,2023-01-09,other,step,2023-08-19,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,have,2023-03-11,"Internship, employability, training course",,Self-employment,2022-12-02,PC,TC,Don't know,65,Not in formal education,yet,her,gas,2023-10-15,PC,49 or more hours,37,formal education,under,when,,,
HM-43,,prepare,apply,1991,Non-binary,Bolton Council,2022-05,,2022-12-02,RPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,at,Creation,2022-12-07,tbc,tbc,tbc,,6 month,2023-06-04,tbc,tbc,tbc,,,,,,,,,,,Self-employment,2023-01-13,PC,CIH,16 to 30 hours,75,formal education,computer,with,,,,,,,,,,,
JZ-48,watch,west,down,1985,Non-binary,Plymouth City Council,2022-06,,,,,,,term,JG556773B,SX,Local VCS,No,4,3,,2019-07,2021-05,Entry level 2,Level 1-2,,No,,,form,Don't know,ZHC,Don't know,,Not in formal education,Homeless and rough sleeping,Non-statutory homelessness,mother,Creation,2023-01-16,tbc,tbc,tbc,,6 month,2023-05-24,tbc,tbc,tbc,,12 month,2023-12-05,tbc,tbc,tbc,,,,,Self-employment,2023-01-27,PC,,0 to 7 hours,5,Not in formal education,production,natural,,,,,,,,,,2022-01-16,
HI-35,include,address,share,1964,Other,Bury Council,2021-11,,,,,,,idea,WP951874B,SY,HO providers,No,8,,,2017-05,2021-10,Below formal levels,Entry level,,Yes,child,skin,voice,Don't know,ZHC,,,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness,,Creation,2023-02-22,tbc,tbc,tbc,,6 month,2023-06-02,tbc,tbc,tbc,,12 month,2023-11-23,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
EP-70,,start,heart,1998,Other,South Tyneside Council,2022-04,,,,,,,good,GH248376A,SV,Self-referrals,No,,,,2017-12,2020-09,Entry level 3,Level 1-2,,Yes,company,take,hotel,Don't know,TC,,46,formal education,Asylum accommodation,,understand,Creation,2022-10-29,tbc,tbc,tbc,during,6 month,2023-05-08,tbc,tbc,tbc,add,12 month,2023-11-25,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
DK-94,loss,under,indeed,1977,Man,Salford City Council,2022-03,,2023-01-03,other,sometimes,2023-04-20,RLA,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-10-18,tbc,tbc,tbc,,6 month,2023-05-15,tbc,tbc,tbc,,12 month,2023-12-17,tbc,tbc,tbc,,,,,Self-employment,2022-10-05,PC,SE,8 to 15 hours,95,formal education,thought,city,,,,,,,,,,,
JQ-39,,thousand,church,2002,Prefer not to say,Northumberland County Council,2022-06,of,2023-01-09,RLA,doctor,2023-04-14,RPC,,NB327371D,BZ,DWP,No,0,3,,2020-05,2021-04,Beyond Level 2,Below formal levels,,Yes,difference,affect,smile,Yes,CIH,,,formal education,Renting - Local authority or housing association,,,Creation,2023-01-28,tbc,tbc,tbc,,,,,,,,,,,,,,2023-04-05,"Internship, Volunteering, employability, qualifications or skills",list,Self-employment,2022-11-12,PC,CIH,0 to 7 hours,84,formal education,customer,new,before,2023-07-29,SE,0 to 7 hours,62,formal education,campaign,message,,,
MY-35,,position,general,2000,Man,South Tyneside Council,2022-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-10-01,tbc,tbc,tbc,,6 month,2023-05-14,tbc,tbc,tbc,,,,,,,,2023-03-07,"another specified activity, mentoring and/or coaching, qualifications or skills",,Employment,2022-11-19,SE,SE,49 or more hours,80,formal education,fall,here,,,,,,,,,,2021-12-23,quality
SE-22,parent,capital,bring,1969,Prefer not to say,Redcar and Cleveland Council,2022-03,,,,,,,,NW012100D,RU,Home Office,Yes,8,0,Caring responsibilities for an adult,2020-04,2021-02,Entry level 1,Entry level,,No,,,why,Don't know,ZHC,49 or more hours,93,Not in formal education,Renting - Local authority or housing association,,where,Creation,2022-12-07,tbc,tbc,tbc,,,,,,,,,,,,,,2023-02-08,"Registered business for self-employment, employability, mentoring and/or coaching, training course",,Self-employment,2023-01-14,Other,TC,16 to 30 hours,1,Not in formal education,federal,yet,just,2023-06-06,CIH,0 to 7 hours,68,Not in formal education,machine,imagine,,,
OJ-15,standard,research,machine,1982,Woman,Gateshead Council,2022-05,give,2023-01-16,RLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-10-02,tbc,tbc,tbc,our,6 month,2023-05-22,tbc,tbc,tbc,,,,,,,bed,2023-03-21,"Volunteering, mentoring and/or coaching, sector-specific language training, training course",,Self-employment,2022-12-23,CIH,SE,49 or more hours,14,formal education,sea,mean,,2023-06-15,TC,8 to 15 hours,54,formal education,spend,out,,2021-11-11,memory
GL-70,change,worker,member,1976,Non-binary,Sunderland City Council,2022-08,,,,,,,,JG577505A,TN,Migrant Help,No,,,5-11,2017-06,2020-09,Level 1,Below formal levels,,No,,,figure,No,SE,,,Not in formal education,Renting - private sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ-33,success,push,impact,1972,Man,Gateshead Council,2022-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS-76,already,popular,television,1960,Woman,Bury Council,2022-07,,,,,,,,XT418832C,IS,HO providers,No,6,7,,2017-07,2021-06,Level 1,Level 1-2,,Yes,onto,success,human,Yes,Other,31 to 48 hours,,Not in formal education,Renting - Local authority or housing association,,message,Creation,2023-01-10,tbc,tbc,tbc,,6 month,2023-06-01,tbc,tbc,tbc,hold,12 month,2023-12-06,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
QH-38,major,leg,arm,1978,Woman,Wolverhampton Council,2022-09,,2022-12-21,RLA,,,,,GZ836296B,GL,Home Office,Yes,,1,,2020-01,2021-11,Level 1,Unknown,15,No,,,interest,Don't know,SE,,94,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness,change,Creation,2022-10-25,tbc,tbc,tbc,forward,6 month,2023-05-29,tbc,tbc,tbc,,12 month,2023-11-26,tbc,tbc,tbc,,2023-05-15,"Internship, training course",act,Self-employment,2023-01-14,Other,Other,0 to 7 hours,39,formal education,cover,like,,2023-10-07,ZHC,0 to 7 hours,49,Not in formal education,question,per,,,
FD-76,,discuss,mean,1972,Other,Middlesbrough Council,2022-02,,2022-12-21,other,,2023-04-19,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-employment,2022-10-14,CIH,CIH,31 to 48 hours,88,Not in formal education,artist,arrive,,,,,,,,,,,
PI-97,,shoulder,study,1996,Woman,Northumberland County Council,2022-02,hospital,2022-12-24,RPC,tonight,2023-03-30,RPC,,,,,,,,,,,,,,,,,,,,,,,,,administration,Creation,2022-11-19,tbc,tbc,tbc,,6 month,2023-06-04,tbc,tbc,tbc,relate,12 month,2023-11-27,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
BO-12,,still,clearly,2001,Other,Salford City Council,2022-02,sound,2022-11-21,RLA,miss,2023-03-13,RLA,,,,,,,,,,,,,,,,,,,,,,,,,somebody,Creation,2023-02-17,tbc,tbc,tbc,,6 month,2023-05-22,tbc,tbc,tbc,,,,,,,,,,among,Self-employment,2023-01-09,SE,,16 to 30 hours,66,formal education,since,plan,,,,,,,,,,,
QI-92,happy,whole,animal,1991,Prefer not to say,Northumberland County Council,2021-11,skill,2023-01-11,RPC,message,2023-04-27,other,,,,,,,,,,,,,,,,,,,,,,,,,difference,Creation,2022-11-01,tbc,tbc,tbc,final,6 month,2023-05-11,tbc,tbc,tbc,,12 month,2023-12-07,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
VB-63,,during,ready,1982,Non-binary,Bury Council,2022-08,,2022-11-01,RLA,conference,2023-06-23,RLA,value,EE406303A,RW,Migrant Help,Yes,,,,2018-01,2021-11,Below formal levels,Unknown,17,Yes,cost,eye,score,Yes,UNLA,16 to 30 hours,98,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness,,Creation,2023-01-14,tbc,tbc,tbc,base,6 month,2023-05-29,tbc,tbc,tbc,,12 month,2023-11-21,tbc,tbc,tbc,,2023-06-10,"Volunteering, qualifications or skills, sector-specific language training, work experience",along,Employment,2022-11-26,PC,TC,0 to 7 hours,48,Not in formal education,coach,future,memory,2023-06-26,TC,31 to 48 hours,15,Not in formal education,raise,executive,arm,2022-08-30,tough
MU-65,,model,certainly,1980,Man,Sandwell Council,2022-09,,2022-10-30,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-10-11,tbc,tbc,tbc,,6 month,2023-05-16,tbc,tbc,tbc,,,,,,,,2023-05-06,"employability, mentoring and/or coaching, training course",,Self-employment,2022-09-29,TC,,49 or more hours,95,Not in formal education,baby,board,test,2023-06-12,TC,31 to 48 hours,20,formal education,book,he,,2022-06-11,data
LQ-50,already,commercial,common,2003,Woman,Tameside Metropolitan Borough Council,2022-03,recently,2022-12-26,RLA,,2023-06-27,RPC,,WT115985C,BH,Other,Yes,8,5,0-4,2019-11,2021-09,Level 2,Level 1-2,,Yes,method,because,wide,Yes,ZHC,8 to 15 hours,,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness,area,Creation,2022-10-19,tbc,tbc,tbc,,6 month,2023-05-13,tbc,tbc,tbc,,,,,,,,,,there,Self-employment,2023-02-02,ZHC,,Don't know,14,formal education,factor,design,,,,,,,,,,,
NN-11,teacher,region,that,1996,Man,Wigan Council,2022-08,,2023-01-18,other,,2023-04-27,RPC,positive,SG668336C,GW,LA,No,,2,"5-11, Caring responsibilities for an adult",2019-02,2020-12,Level 2,Entry level,,Yes,cell,up,ago,Don't know,CIH,8 to 15 hours,65,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness,,Creation,2022-10-12,tbc,tbc,tbc,short,6 month,2023-05-15,tbc,tbc,tbc,,12 month,2023-12-02,tbc,tbc,tbc,,,,,Employment,2022-10-14,Other,,49 or more hours,50,formal education,pick,tax,,,,,,,,,,,
PN-22,,sport,though,1993,Man,Sunderland City Council,2022-03,full,2023-01-18,RPC,,2023-07-31,RPC,enough,AT601098D,SG,Local VCS,No,,,,2017-05,2020-10,Below formal levels,Level 5+,,Yes,guy,simple,movie,Don't know,UNLA,,12,Not in formal education,Renting - private sector,,attorney,Creation,2022-12-08,tbc,tbc,tbc,,,,,,,,,,,,,everyone,2023-02-23,"Internship, sector-specific language training, work experience",,Employment,2022-11-28,TC,SE,Don't know,7,Not in formal education,information,finally,,,,,,,,,,,
LC-36,,fly,have,2002,Woman,South Tyneside Council,2022-07,,2022-11-13,RPC,,,,plant,,GS,Other Health,No,,3,11-17,2019-12,2020-12,Level 2,Below formal levels,,Yes,explain,station,money,Yes,PC,,47,Not in formal education,Homeless and rough sleeping,Statutory homelessness,talk,Creation,2023-02-13,tbc,tbc,tbc,,,,,,,,,,,,,trial,2023-02-15,"Registered business for self-employment, mentoring and/or coaching, work experience",interest,Employment,2023-02-19,ZHC,,Don't know,59,formal education,mention,building,PM,2023-09-23,Other,Don't know,62,Not in formal education,focus,wife,,,
TS-45,standard,effort,maintain,1998,Prefer not to say,Stockport Metropolitan Borough Council,2022-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,phone,Creation,2022-12-15,tbc,tbc,tbc,theory,6 month,2023-06-03,tbc,tbc,tbc,,12 month,2023-12-17,tbc,tbc,tbc,,,,brother,Self-employment,2023-02-20,CIH,,16 to 30 hours,27,formal education,wear,friend,,,,,,,,,,,
AU-81,,manager,whether,1982,Prefer not to say,Sunderland City Council,2021-10,,2022-12-26,RLA,,2023-03-10,RLA,,CH118810C,SO,Home Office,Yes,,,,2017-09,2021-04,Level 1,Unknown,12,Yes,wide,economy,it,Don't know,TC,,39,Not in formal education,Homeless and rough sleeping,Non-statutory homelessness,,Creation,2022-12-07,tbc,tbc,tbc,,6 month,2023-05-09,tbc,tbc,tbc,,12 month,2023-12-12,tbc,tbc,tbc,teacher,2023-01-27,"business plan for self-employment, mentoring and/or coaching, work experience",,Self-employment,2022-10-25,CIH,,0 to 7 hours,0,formal education,employee,try,,2023-10-18,CIH,49 or more hours,88,formal education,detail,town,,,
XF-78,,resource,rule,2002,Other,Middlesbrough Council,2021-10,everything,2022-12-20,RPC,,2023-08-27,RPC,consider,XZ963317C,PS,Home Office,Yes,3,,,2017-09,2021-02,Entry level 3,Level 1-2,,No,,,take,Yes,TC,,,Not in formal education,Publicly funded temporary accommodation,,,Creation,2022-12-03,tbc,tbc,tbc,,6 month,2023-05-17,tbc,tbc,tbc,kind,12 month,2023-12-14,tbc,tbc,tbc,,2023-05-27,"another specified activity, employability",,Self-employment,2022-11-26,TC,,49 or more hours,36,formal education,ahead,want,,,,,,,,,,,
KY-42,,recent,media,1964,Man,Redcar and Cleveland Council,2022-07,personal,2022-12-20,other,,2023-04-23,other,member,HE574828D,PL,Migrant Help,No,,7,,2019-09,2020-12,Entry level 1,Entry level,,No,,,human,No,SE,Don't know,,Not in formal education,Homeless and rough sleeping,Statutory homelessness,wonder,Creation,2023-01-12,tbc,tbc,tbc,interesting,6 month,2023-05-14,tbc,tbc,tbc,bank,12 month,2023-11-24,tbc,tbc,tbc,,2023-05-23,"business plan for self-employment, sector-specific language training, work experience",visit,Employment,2022-12-28,PC,TC,31 to 48 hours,85,formal education,say,close,major,2023-10-18,PC,8 to 15 hours,77,formal education,long,management,,2022-04-04,
GS-67,,bad,majority,1982,Non-binary,Salford City Council,2021-12,pull,2022-11-15,RPC,amount,2023-07-13,RPC,north,SJ117827C,PH,Other Health,Yes,,8,,2018-03,2021-01,Level 2,Below formal levels,,Yes,amount,security,leave,No,CIH,49 or more hours,,Not in formal education,Renting - Local authority or housing association,,,,,,,,,,,,,,,,,,,,region,2023-04-09,"Internship, another specified activity, qualifications or skills, sector-specific language training",,Self-employment,2023-02-06,TC,,16 to 30 hours,63,formal education,spend,check,,,,,,,,,,,
LJ-69,,meet,participant,1979,Man,Wigan Council,2022-03,total,2022-12-11,RLA,positive,2023-03-11,RLA,son,RY691887D,GB,Self-referrals,No,,8,,2017-12,2021-05,Beyond Level 2,Below formal levels,,No,,,attorney,No,ULA,,,Not in formal education,Self-funded temporary accommodation (e.g. hotel),,,Creation,2023-01-25,tbc,tbc,tbc,career,6 month,2023-06-05,tbc,tbc,tbc,,12 month,2023-12-17,tbc,tbc,tbc,image,2023-01-17,"Internship, Registered business for self-employment, employability, qualifications or skills",,Self-employment,2022-10-23,PC,,0 to 7 hours,85,Not in formal education,federal,water,,2023-06-24,CIH,8 to 15 hours,78,formal education,sea,prepare,,,
AL-94,,former,happy,1986,Non-binary,Stockton Council,2022-06,,2022-12-06,RLA,,2023-04-30,RLA,,YR737442A,LC,Other,No,,2,,2018-09,2021-10,Pre-entry,Level 1-2,,Yes,drop,part,address,No,CIH,,,Not in formal education,Homeless and rough sleeping,Statutory homelessness,,Creation,2022-11-29,tbc,tbc,tbc,,,,,,,,,,,,,manager,2023-03-04,"qualifications or skills, sector-specific language training",,Self-employment,2023-01-28,CIH,ZHC,31 to 48 hours,92,Not in formal education,financial,so,,2023-09-15,ZHC,16 to 30 hours,84,formal education,weight,personal,,,
OF-08,,choice,today,1987,Prefer not to say,Bury Council,2021-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-28,"Volunteering, employability, training course",,Employment,2022-11-22,ZHC,,49 or more hours,24,formal education,no,Mrs,,2023-08-11,ZHC,49 or more hours,79,formal education,score,history,,,
